,location_name,fips,year,MeanLifeExpectency
46710,Bryan County (Georgia),13029,2010,76.15549096
46716,Bulloch County (Georgia),13031,2010,76.74867599
46722,Burke County (Georgia),13033,2010,73.37161894
46728,Butts County (Georgia),13035,2010,74.34783688
46734,Calhoun County (Georgia),13037,2010,75.09405263
46740,Camden County (Georgia),13039,2010,77.43167041
46746,Candler County (Georgia),13043,2010,74.10667672
46752,Carroll County (Georgia),13045,2010,75.45293887
46758,Catoosa County (Georgia),13047,2010,77.84059226
46764,Charlton County (Georgia),13049,2010,76.52464257
46770,Chatham County (Georgia),13051,2010,77.00920101
46776,Chattahoochee County (Georgia),13053,2010,77.01794274
46782,Chattooga County (Georgia),13055,2010,74.25894532
46788,Cherokee County (Georgia),13057,2010,79.62083136
46794,Clarke County (Georgia),13059,2010,78.44796096
46800,Clay County (Georgia),13061,2010,74.74586755
46806,Clayton County (Georgia),13063,2010,76.41568723
46812,Clinch County (Georgia),13065,2010,73.55218071
46818,Cobb County (Georgia),13067,2010,79.78109196
46824,Coffee County (Georgia),13069,2010,74.95736039
46830,Colquitt County (Georgia),13071,2010,75.14158186
46836,Columbia County (Georgia),13073,2010,79.72304897
46842,Cook County (Georgia),13075,2010,74.64964119
46848,Coweta County (Georgia),13077,2010,77.935687
46854,Crawford County (Georgia),13079,2010,76.32854823
46860,Crisp County (Georgia),13081,2010,75.44552602
46866,Dade County (Georgia),13083,2010,75.7316597
46872,Dawson County (Georgia),13085,2010,77.39019977
46878,Decatur County (Georgia),13087,2010,74.64215215
46884,DeKalb County (Georgia),13089,2010,78.95192437
46890,Dodge County (Georgia),13091,2010,75.28281109
46896,Dooly County (Georgia),13093,2010,77.90610372
46902,Dougherty County (Georgia),13095,2010,74.9777327
46908,Douglas County (Georgia),13097,2010,77.02339106
46914,Early County (Georgia),13099,2010,73.85343976
46920,Echols County (Georgia),13101,2010,77.36367115
46926,Effingham County (Georgia),13103,2010,76.60102622
46932,Elbert County (Georgia),13105,2010,74.94005623
46938,Emanuel County (Georgia),13107,2010,73.25957783
46944,Evans County (Georgia),13109,2010,74.97430099
46950,Fannin County (Georgia),13111,2010,76.55383273
46956,Fayette County (Georgia),13113,2010,80.72823052
46962,Floyd County (Georgia),13115,2010,75.59767872
46968,Forsyth County (Georgia),13117,2010,80.80592606
46974,Franklin County (Georgia),13119,2010,75.01367613
46980,Fulton County (Georgia),13121,2010,77.76527712
46986,Gilmer County (Georgia),13123,2010,77.90275417
46992,Glascock County (Georgia),13125,2010,74.06358415
46998,Glynn County (Georgia),13127,2010,76.74779116
47004,Gordon County (Georgia),13129,2010,75.80579204
47010,Grady County (Georgia),13131,2010,75.54472705
47016,Greene County (Georgia),13133,2010,76.80473597
47022,Gwinnett County (Georgia),13135,2010,80.16234115
47028,Habersham County (Georgia),13137,2010,78.02858633
47034,Hall County (Georgia),13139,2010,78.57918574
47040,Hancock County (Georgia),13141,2010,75.86291853
47046,Haralson County (Georgia),13143,2010,73.63558296
47052,Harris County (Georgia),13145,2010,79.31332692
47058,Hart County (Georgia),13147,2010,76.96686365
47064,Heard County (Georgia),13149,2010,75.01041895
47070,Henry County (Georgia),13151,2010,77.28111471
47076,Houston County (Georgia),13153,2010,77.676271
47082,Irwin County (Georgia),13155,2010,75.17081816
47088,Jackson County (Georgia),13157,2010,76.18626213
47094,Jasper County (Georgia),13159,2010,76.49506147
47100,Jeff Davis County (Georgia),13161,2010,73.64997878
47106,Jefferson County (Georgia),13163,2010,73.11203012
47112,Jenkins County (Georgia),13165,2010,74.58422534
47118,Johnson County (Georgia),13167,2010,76.55243954
47124,Jones County (Georgia),13169,2010,78.18689494
47130,Lamar County (Georgia),13171,2010,74.71917074
47136,Lanier County (Georgia),13173,2010,75.45271264
47142,Laurens County (Georgia),13175,2010,75.22875231
47148,Lee County (Georgia),13177,2010,77.17676693
47154,Liberty County (Georgia),13179,2010,76.54746511
47160,Lincoln County (Georgia),13181,2010,75.916181
47166,Long County (Georgia),13183,2010,77.67859129
47172,Lowndes County (Georgia),13185,2010,75.99557561
47178,Lumpkin County (Georgia),13187,2010,77.5551478
47184,McDuffie County (Georgia),13189,2010,74.11578525
47190,McIntosh County (Georgia),13191,2010,78.98753652
47196,Macon County (Georgia),13193,2010,74.23660697
47202,Madison County (Georgia),13195,2010,75.77309291
47208,Marion County (Georgia),13197,2010,75.77305521
47214,Meriwether County (Georgia),13199,2010,74.92947089
47220,Miller County (Georgia),13201,2010,74.0698527
47226,Mitchell County (Georgia),13205,2010,74.96480453
47232,Monroe County (Georgia),13207,2010,76.92468208
47238,Montgomery County (Georgia),13209,2010,75.50798098
47244,Morgan County (Georgia),13211,2010,77.64792957
47250,Murray County (Georgia),13213,2010,75.01044037
47256,Muscogee County (Georgia),13215,2010,74.60100154
47262,Newton County (Georgia),13217,2010,76.41367848
47268,Oconee County (Georgia),13219,2010,80.51008414
47274,Oglethorpe County (Georgia),13221,2010,78.10761816
47280,Paulding County (Georgia),13223,2010,78.2926202
47286,Peach County (Georgia),13225,2010,74.15271336
47292,Pickens County (Georgia),13227,2010,77.22399801
47298,Pierce County (Georgia),13229,2010,74.73000462
47304,Pike County (Georgia),13231,2010,76.19926749
47310,Polk County (Georgia),13233,2010,73.58543859
47316,Pulaski County (Georgia),13235,2010,76.83684474
47322,Putnam County (Georgia),13237,2010,77.26465025
47328,Quitman County (Georgia),13239,2010,75.16779601
47334,Rabun County (Georgia),13241,2010,77.8207162
47340,Randolph County (Georgia),13243,2010,75.67529665
47346,Richmond County (Georgia),13245,2010,74.02314953
47352,Rockdale County (Georgia),13247,2010,78.033565
47358,Schley County (Georgia),13249,2010,77.06797831
47364,Screven County (Georgia),13251,2010,74.61547183
47370,Seminole County (Georgia),13253,2010,74.40436795
47376,Spalding County (Georgia),13255,2010,74.75407011
47382,Stephens County (Georgia),13257,2010,73.96603298
47388,Stewart County (Georgia),13259,2010,74.46062617
47394,Sumter County (Georgia),13261,2010,75.19532901
47400,Talbot County (Georgia),13263,2010,74.97446452
47406,Taliaferro County (Georgia),13265,2010,75.19693968
47412,Tattnall County (Georgia),13267,2010,75.0250531
47418,Taylor County (Georgia),13269,2010,74.81047338
47424,Telfair County (Georgia),13271,2010,77.2724608
47430,Terrell County (Georgia),13273,2010,74.27686508
47436,Thomas County (Georgia),13275,2010,75.4170753
